batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
25.013,1.8732,13.5787,0.0452522,46.9027,0.3618424
25.0192,1.8718,13.4351,0.0466765,46.9027,0.370362
25.0104,1.8742,13.5179,0.0467523,46.9219,0.370362
25.0141,1.8763,13.45,0.0463967,46.9219,0.3438484
25.0185,1.8779,13.4964,0.0467472,47.0272,0.3438484
25.0141,1.8732,13.4912,0.0486148,47.0272,0.394466
25.0077,1.8712,13.5359,0.0476587,46.8459,0.394466
25.0122,1.8724,13.7094,0.0485555,46.8459,0.4015995
25.0078,1.8724,13.5069,0.0471421,46.8753,0.4015995
25.0174,1.8762,13.5356,0.0479336,46.8753,0.3867512
25.0159,1.873,13.6058,0.0463747,46.9025,0.3867512
25.0257,1.8764,13.7315,0.0481634,46.9025,0.3942425
25.0257,1.8749,13.5603,0.0461178,46.9683,0.3942425
25.0242,1.8756,13.6942,0.0472375,46.9683,0.3740218
25.0268,1.8722,13.6332,0.0464691,46.9046,0.3740218
25.029,1.8721,13.4414,0.0470861,46.9046,0.3635442
25.0319,1.8705,13.5038,0.0464652,46.8718,0.3635442
25.0285,1.8694,13.5168,0.0459562,46.8718,0.3427015
25.0286,1.8704,13.6428,0.0458005,46.862,0.3427015
25.036,1.8731,13.6535,0.045832,46.862,0.3438
25.0377,1.8668,13.6914,0.0464717,46.7871,0.3438
25.0427,1.8672,13.8873,0.0470963,46.7871,0.3560794
25.049,1.8717,13.723,0.0466173,46.9336,0.3560794
25.0459,1.8721,13.7997,0.0467908,46.9336,0.3550824
25.0486,1.8727,13.4933,0.0469521,46.9578,0.3550824
25.0547,1.8711,13.4285,0.047549,46.9578,0.3762579
25.0456,1.8699,13.7344,0.0464342,46.8813,0.3762579
25.0502,1.8746,13.7165,0.0489457,46.8813,0.401087
25.0474,1.8701,13.6307,0.0494154,46.8897,0.401087
25.055,1.8704,13.8067,0.0478221,46.8897,0.3733076
25.0572,1.8712,13.6361,0.0468087,46.9358,0.3733076
25.059,1.8706,13.8306,0.0457402,46.9358,0.3514148
25.0565,1.8671,13.7458,0.0484788,46.8286,0.3514148
25.0624,1.8696,13.7776,0.0480374,46.8286,0.4038466
25.06,1.8677,13.7066,0.047334,46.8511,0.4038466
25.0551,1.8733,13.7711,0.0474049,46.8511,0.3853354
25.0587,1.8654,13.47,0.0458555,46.7937,0.3853354
25.0649,1.8644,13.6291,0.0473821,46.7937,0.3914423
25.0556,1.866,13.6208,0.0475654,46.8026,0.3914423
25.0626,1.8703,13.6169,0.0472769,46.8026,0.3749156
25.058,1.8693,13.7806,0.049084,46.8882,0.3749156
25.0649,1.8677,13.712,0.0495197,46.8882,0.3988399
25.0668,1.87,13.6358,0.0488757,46.9211,0.3988399
25.0685,1.8701,13.7347,0.04869,46.9211,0.3792739
25.0549,1.8645,13.779,0.049278,46.7616,0.3792739
25.0627,1.8654,13.8598,0.0502523,46.7616,0.3888467
25.0557,1.8618,14.0236,0.0508635,46.6959,0.3888467
25.0639,1.8628,13.8461,0.0502953,46.6959,0.394866
25.0738,1.8645,13.8704,0.0488966,46.7979,0.394866
25.0683,1.8658,13.7736,0.0490962,46.7979,0.3913501
25.0673,1.8616,13.9411,0.0489824,46.7138,0.3913501
25.0711,1.8662,13.7313,0.0486826,46.7138,0.3975835
25.0616,1.8615,13.8113,0.0470581,46.6992,0.3975835
25.0658,1.8656,13.8133,0.0466907,46.6992,0.3603704
25.068,1.8646,13.5805,0.0457625,46.791,0.3603704
25.0742,1.8641,13.6056,0.0465323,46.791,0.3375963
25.0755,1.8647,13.6614,0.0474011,46.8054,0.3375963
25.0824,1.8661,13.6576,0.0473276,46.8054,0.3470331
25.0736,1.8682,13.6025,0.048294,46.8892,0.3470331
25.082,1.8675,13.7956,0.0494397,46.8892,0.3870356
25.0843,1.8662,13.8859,0.0506092,46.8607,0.3870356
25.0712,1.8663,13.6599,0.0515304,46.8607,0.4145008
25.0701,1.867,13.7734,0.0500417,46.8553,0.4145008
25.0741,1.8667,13.9154,0.0499637,46.8553,0.4075689
25.078,1.8667,13.8277,0.0505048,46.8603,0.4075689
25.0792,1.865,13.8358,0.0470172,46.8603,0.3665851
25.0832,1.8676,13.925,0.0494494,46.8906,0.3665851
25.0894,1.8646,13.655,0.0494166,46.8906,0.413357
25.0864,1.8672,13.7986,0.0481883,46.8865,0.413357
25.0848,1.869,13.6987,0.0481173,46.8865,0.3984383
25.0863,1.8653,13.7379,0.0480024,46.8391,0.3984383
25.0867,1.8629,13.8916,0.0486703,46.8391,0.3917298
25.0937,1.8595,13.8876,0.0492354,46.7089,0.3917298
25.0857,1.8582,13.8871,0.0502057,46.7089,0.3875309
25.0927,1.8603,13.8848,0.0500908,46.7271,0.3875309
25.0929,1.861,13.6006,0.0510284,46.7271,0.3790442
25.0894,1.8671,13.9432,0.0507738,46.8926,0.3790442
25.0905,1.8616,13.7003,0.0509343,46.8926,0.3975366
25.0982,1.8604,13.7203,0.0490962,46.7402,0.3975366
25.0975,1.8618,13.6398,0.0496456,46.7402,0.3857214
25.0891,1.8633,13.8185,0.0489616,46.7955,0.3857214
25.0945,1.8615,13.5799,0.0494822,46.7955,0.4133335
25.1026,1.8596,13.6852,0.0474252,46.7261,0.4133335
25.1023,1.858,13.5286,0.0464872,46.7261,0.3594109
25.099,1.8581,13.5569,0.0489003,46.6846,0.3594109
25.1111,1.8591,13.7604,0.050418,46.6846,0.4389814
25.1089,1.8614,13.8584,0.0492171,46.7833,0.4389814
25.1142,1.863,13.8993,0.0498145,46.7833,0.4070673
25.111,1.8589,13.8416,0.047254,46.7247,0.4070673
25.1067,1.8578,13.7024,0.0487947,46.7247,0.3731311
25.1223,1.8586,13.6397,0.0514559,46.7389,0.3731311
25.1314,1.8588,13.7394,0.0505036,46.7389,0.3938644
25.1174,1.8616,13.8702,0.051845,46.8056,0.3938644
25.1206,1.8585,13.5757,0.050972,46.8056,0.3791504
25.1198,1.8596,13.6546,0.0502153,46.7597,0.3791504
25.1133,1.858,13.5954,0.0485147,46.7597,0.3525743
25.1172,1.8601,13.719,0.0489297,46.7674,0.3525743
25.1091,1.8566,13.593,0.0475263,46.7674,0.3629691
25.1128,1.8611,13.584,0.046947,46.7839,0.3629691
25.1164,1.8583,13.5876,0.0469764,46.7839,0.3495475
25.1179,1.8613,13.6867,0.0487208,46.7996,0.3495475
25.1213,1.8587,13.8025,0.0480636,46.7996,0.3985617
25.1266,1.8567,13.6396,0.0480886,46.7011,0.3985617
25.1252,1.8641,13.7949,0.0480574,46.7011,0.392272
25.1313,1.8625,13.7892,0.046665,46.8539,0.392272
25.1243,1.8622,13.8358,0.0486209,46.8539,0.3832727
25.1235,1.863,13.7106,0.0476587,46.8523,0.3832727
25.1287,1.8628,13.6976,0.0505333,46.8523,0.4047999
25.1373,1.8605,13.6401,0.0482567,46.8161,0.4047999
25.1253,1.8571,13.6536,0.0480986,46.8161,0.3383838
25.1231,1.8616,13.635,0.0494106,46.8186,0.3383838
25.1327,1.8621,13.718,0.0486678,46.8186,0.3182693
25.1337,1.8603,13.7275,0.0490143,46.8053,0.3182693
25.1332,1.8576,13.6476,0.0486826,46.8053,0.353887
25.1335,1.8599,13.538,0.0491219,46.7914,0.353887
25.1449,1.8592,13.5878,0.0474922,46.7914,0.3538948
25.1396,1.8625,13.5177,0.0479073,46.8704,0.3538948
25.1485,1.8621,13.4084,0.047415,46.8704,0.3674524
25.1414,1.8637,13.3695,0.0465903,46.9026,0.3674524
25.1452,1.8605,13.5367,0.0461594,46.9026,0.3247106
25.1362,1.8585,13.6392,0.0474074,46.762,0.3247106
25.1428,1.8582,13.4093,0.0469125,46.762,0.3360899
25.1371,1.8572,13.6594,0.0470006,46.7305,0.3360899
25.1359,1.8557,13.3998,0.0485184,46.7305,0.3193319
25.1424,1.8559,13.4526,0.0503561,46.7084,0.3193319
25.1388,1.8548,13.3308,0.0492342,46.7084,0.3061462
25.155,1.8521,13.5648,0.0477856,46.6361,0.3061462
25.1381,1.8541,13.435,0.0469444,46.6361,0.3134157
25.1394,1.8568,13.4669,0.0464032,46.7264,0.3134157
25.1407,1.8571,13.4755,0.0473707,46.7264,0.3443579
25.1458,1.8588,13.295,0.0461776,46.7869,0.3443579
25.1464,1.857,13.5421,0.0467266,46.7869,0.3500241
25.1387,1.8554,13.4056,0.0459523,46.6904,0.3500241
25.1441,1.853,13.4426,0.0467754,46.6904,0.3464878
25.1455,1.8563,13.489,0.0460788,46.7227,0.3464878
25.1433,1.856,13.5166,0.0490229,46.7227,0.3643114
25.148,1.8584,13.7227,0.0484838,46.7808,0.3643114
25.1487,1.8557,13.6058,0.0490486,46.7808,0.3713028
25.1454,1.8555,13.776,0.048253,46.7052,0.3713028
25.151,1.8594,13.5606,0.0500764,46.7052,0.3723357
25.1465,1.8579,13.5951,0.0487011,46.7639,0.3723357
25.1491,1.8578,13.6986,0.0507702,46.7639,0.3782878
25.1575,1.8591,13.5762,0.0508824,46.8169,0.3782878
25.1569,1.8549,13.621,0.0492427,46.8169,0.3431499
25.1586,1.8504,13.6231,0.0508305,46.6003,0.3431499
25.1583,1.8541,13.7701,0.0491341,46.6003,0.3607048
25.1603,1.854,13.6523,0.0490828,46.6923,0.3607048
25.1678,1.8547,13.6013,0.0484342,46.6923,0.3613143
25.1623,1.8574,13.6353,0.0482841,46.7812,0.3613143
25.1551,1.8554,13.833,0.0486432,46.7812,0.3886936
25.1555,1.8517,13.7483,0.0468741,46.6269,0.3886936
25.1503,1.8529,13.6725,0.0460592,46.6269,0.3345881
25.1639,1.8581,13.4197,0.0465039,46.8031,0.3345881
25.1634,1.8548,13.5665,0.0475553,46.8031,0.3531869
25.1647,1.8612,13.5474,0.0473403,46.8819,0.3531869
25.1637,1.8551,13.6988,0.0465065,46.8819,0.3383495
25.1617,1.8558,13.7268,0.0476272,46.741,0.3383495
25.1568,1.8529,13.6571,0.0480374,46.741,0.3805771
25.1561,1.8552,13.6441,0.0475427,46.7147,0.3805771
25.1579,1.8547,13.9063,0.0477128,46.7147,0.366471
25.1544,1.8538,13.8285,0.049334,46.6772,0.366471
25.1632,1.8544,13.6373,0.0479836,46.6772,0.3696745
25.1585,1.8517,13.6559,0.0462283,46.6321,0.3696745
25.1629,1.8533,13.7096,0.0476511,46.6321,0.3627972
25.1612,1.855,13.8467,0.0498278,46.72,0.3627972
25.1557,1.8543,13.8232,0.0493547,46.72,0.4141539
25.1713,1.8542,13.6007,0.0494846,46.7161,0.4141539
25.1691,1.8565,13.5547,0.0487331,46.7161,0.3834477
25.1742,1.856,13.7289,0.0475174,46.7694,0.3834477
25.1768,1.853,13.6773,0.0501854,46.7694,0.4088846
25.168,1.8565,13.6648,0.0486789,46.7704,0.4088846
25.1821,1.8541,13.6556,0.0492098,46.7704,0.3900453
25.1845,1.8551,13.6417,0.0492829,46.7636,0.3900453
25.1825,1.8578,13.6486,0.0503775,46.7636,0.4117506
25.1784,1.8536,13.4396,0.0497989,46.7173,0.4117506
25.1805,1.8545,13.7053,0.0519318,46.7173,0.444646
25.1725,1.8559,13.7649,0.0516258,46.7609,0.444646
25.1858,1.8546,13.8081,0.051359,46.7609,0.4317526
25.1814,1.8561,13.6122,0.0516177,46.783,0.4317526
25.1849,1.8556,13.682,0.0520518,46.783,0.4337481
25.1737,1.8545,13.7594,0.0525315,46.7285,0.4337481
25.1806,1.8559,13.6989,0.0520045,46.7285,0.4336121
25.1841,1.8569,13.7925,0.0507655,46.8101,0.4336121
25.1789,1.8581,13.7674,0.05008,46.8101,0.3887983
25.1783,1.8559,13.6892,0.0508376,46.7748,0.3887983
25.1826,1.8523,13.7143,0.0492573,46.7748,0.3674696
25.1783,1.8519,13.7996,0.0505226,46.6734,0.3674696
25.1809,1.8566,13.8463,0.0500285,46.6734,0.4167323
25.185,1.855,13.8604,0.0507324,46.7629,0.4167323
25.1925,1.8544,13.7591,0.0502069,46.7629,0.4069266
25.1972,1.8499,13.7451,0.0491805,46.6577,0.4069266
25.19,1.8527,13.7977,0.0497048,46.6577,0.4220219
25.189,1.8525,13.978,0.0500669,46.7074,0.4220219
25.1941,1.8486,13.8518,0.0490999,46.7074,0.4069001
25.1844,1.8523,13.7122,0.048915,46.6949,0.4069001
25.1892,1.8474,13.867,0.0511787,46.6949,0.4423739
25.1946,1.8498,13.9769,0.0494385,46.6512,0.4423739
25.189,1.85,13.8461,0.049278,46.6512,0.3849197
25.1966,1.8464,13.6432,0.0506969,46.5672,0.3849197
25.2004,1.8471,13.8128,0.050717,46.5672,0.3875856
25.201,1.8474,13.7561,0.0522956,46.6015,0.3875856
25.1892,1.8487,13.6996,0.0516665,46.6015,0.4064672
25.1888,1.8515,13.912,0.0501172,46.6811,0.4064672
25.1977,1.8495,13.8785,0.0496021,46.6811,0.3992649
25.1975,1.8502,13.8532,0.047549,46.6664,0.3992649
25.2028,1.85,13.7895,0.0477731,46.6664,0.3671602
25.1991,1.847,13.7089,0.0477467,46.5876,0.3671602
25.203,1.8452,13.6181,0.0477668,46.5876,0.3810178
25.1979,1.8467,13.687,0.0482828,46.5787,0.3810178
25.2034,1.8517,13.7315,0.0500069,46.5787,0.4032028
25.2011,1.8516,13.6446,0.0505238,46.7077,0.4032028
25.2033,1.8491,13.6192,0.0516711,46.7077,0.4244456
25.2041,1.8503,13.6314,0.0525532,46.6798,0.4244456
25.2008,1.8481,13.8188,0.0512373,46.6798,0.4044904
25.2032,1.8506,13.7344,0.0523942,46.6866,0.4044904
25.2038,1.8501,13.4867,0.0507549,46.6866,0.3697745
25.2079,1.8477,13.6743,0.0510402,46.6211,0.3697745
25.2117,1.8441,13.7059,0.0504001,46.6211,0.4152446
25.2095,1.8451,13.8015,0.0518022,46.5593,0.4152446
25.208,1.8478,13.909,0.0493449,46.5593,0.4168214
25.2073,1.8426,13.7579,0.0499156,46.4913,0.4168214
25.2175,1.8456,13.9214,0.0494251,46.4913,0.4073876
25.2076,1.8477,13.7647,0.0491024,46.6197,0.4073876
25.212,1.8478,13.6356,0.0488954,46.6197,0.3746687
25.2121,1.8517,13.7552,0.0494894,46.7287,0.3746687
25.2122,1.8476,13.9609,0.0517941,46.7287,0.4447054
25.2193,1.8471,13.7695,0.0504525,46.6265,0.4447054
25.2116,1.8486,13.763,0.0517396,46.6265,0.4160447
25.2126,1.846,13.6922,0.0494555,46.5882,0.4160447
25.2132,1.8489,13.7084,0.0509849,46.5882,0.374228
25.2164,1.8511,13.7515,0.0518231,46.7211,0.374228
25.2209,1.8524,13.5579,0.0516282,46.7211,0.4057031
25.2181,1.8531,13.587,0.0525931,46.7762,0.4057031
25.2087,1.8513,13.8877,0.0508612,46.7762,0.4150681
25.2236,1.8516,13.6277,0.0520149,46.7494,0.4150681
25.2194,1.8523,13.5996,0.0507218,46.7494,0.4054562
25.2123,1.8527,13.4846,0.0491134,46.7531,0.4054562
25.2307,1.8508,13.7035,0.0487171,46.7531,0.3912282
25.2182,1.8513,13.506,0.0490339,46.7318,0.3912282
25.2263,1.8515,13.6457,0.0495173,46.7318,0.4095144
25.2243,1.853,13.7617,0.047817,46.7845,0.4095144
25.2247,1.8572,13.6353,0.0508258,46.7845,0.4137039
25.2315,1.8556,13.769,0.0499637,46.8619,0.4137039
25.2211,1.8503,13.7772,0.0505654,46.8619,0.3901062
25.2395,1.8518,13.7743,0.0514605,46.7849,0.3901062
25.2285,1.854,13.7985,0.051728,46.7849,0.4031528
25.2231,1.8496,13.7136,0.0519964,46.6969,0.4031528
25.2242,1.8496,13.677,0.0512479,46.6969,0.3818319
25.2221,1.8516,13.6805,0.0504703,46.7457,0.3818319
25.2227,1.8494,13.7204,0.0479974,46.7457,0.3525946
25.2299,1.8489,13.6649,0.0486949,46.6921,0.3525946
25.2342,1.8498,13.5952,0.0498266,46.6921,0.417698
25.2396,1.8483,13.7016,0.0517118,46.6944,0.417698
25.2404,1.8503,13.7855,0.0504858,46.6944,0.4130944
25.2484,1.8485,13.6766,0.051584,46.7158,0.4130944
25.2375,1.849,13.5662,0.0505891,46.7158,0.3890139
25.2417,1.8445,13.6285,0.0501638,46.6036,0.3890139
25.2431,1.8477,13.6703,0.0517535,46.6036,0.4026918
25.2513,1.8458,13.6992,0.0527629,46.6533,0.4026918
25.2528,1.8455,13.503,0.0525292,46.6533,0.3735545
25.2464,1.8492,13.7993,0.0531808,46.729,0.3735545
25.2559,1.8458,13.8551,0.0515537,46.729,0.4063703
25.2507,1.848,13.6287,0.0517674,46.7073,0.4063703
25.2456,1.8507,13.748,0.0501088,46.7073,0.3934862
25.2651,1.8429,13.476,0.0494239,46.6057,0.3934862
25.2531,1.8419,13.6123,0.0474846,46.6057,0.3724216
25.2551,1.8482,13.6937,0.0490192,46.7222,0.3724216
25.2521,1.8459,13.8498,0.0486937,46.7222,0.3899437
25.2517,1.8493,13.6949,0.0485271,46.7448,0.3899437
25.2447,1.8488,13.6762,0.0494579,46.7448,0.3755251
25.2457,1.8435,13.8196,0.0504192,46.585,0.3755251
25.2497,1.8473,13.7137,0.0497832,46.585,0.3462659
25.2557,1.8448,13.7786,0.0514407,46.6355,0.3462659
25.2585,1.8482,13.693,0.0522084,46.6355,0.4105239
25.2606,1.8461,13.7571,0.0521255,46.6768,0.4105239
25.2517,1.8439,13.9565,0.05086,46.6768,0.4162823
25.266,1.8476,13.8078,0.0501507,46.7273,0.4162823
25.263,1.8438,13.9668,0.0483722,46.7273,0.3972475
25.2552,1.8458,13.7119,0.0484082,46.6606,0.3972475
25.2556,1.8431,13.8866,0.0486567,46.6606,0.3895218
25.2555,1.8459,13.9952,0.0499973,46.6648,0.3895218
25.2516,1.8474,13.9837,0.0504513,46.6648,0.4047905
25.2559,1.8472,13.7154,0.0517083,46.6963,0.4047905
25.2526,1.8481,13.7561,0.0522176,46.6963,0.426177
25.2707,1.8482,13.894,0.0524846,46.7499,0.426177
25.2653,1.8497,13.7912,0.0523128,46.7499,0.392908
25.2526,1.8504,13.7243,0.0518034,46.7717,0.392908
25.2546,1.8483,13.8818,0.0513765,46.7717,0.398843
25.2641,1.8481,13.922,0.0492098,46.7339,0.398843
25.2516,1.8476,13.8106,0.0491659,46.7339,0.3874419
25.2573,1.8503,13.8022,0.0507821,46.7788,0.3874419
25.2672,1.8503,13.705,0.0500237,46.7788,0.4252128
25.2606,1.8498,13.72,0.050226,46.771,0.4252128
25.2556,1.8503,13.8433,0.0490693,46.771,0.3896546
25.258,1.8447,13.8308,0.0506768,46.6356,0.3896546
25.267,1.8465,13.7156,0.0511306,46.6356,0.3944207
25.277,1.8487,13.8238,0.0525086,46.7727,0.3944207
25.271,1.8449,13.8873,0.0527742,46.7727,0.4326073
25.2686,1.8425,13.7589,0.0542189,46.6023,0.4326073
25.2678,1.8448,13.513,0.0525886,46.6023,0.3936362
25.2769,1.8455,13.6975,0.0525418,46.692,0.3936362
25.2841,1.8427,13.6504,0.0511306,46.692,0.4013589
25.2679,1.8471,13.8867,0.0491402,46.7153,0.4013589
25.2734,1.8445,13.8135,0.0488487,46.7153,0.3985149
25.2803,1.8447,13.6777,0.0476675,46.6774,0.3985149
25.2729,1.843,13.6576,0.0485011,46.6774,0.3852432
25.2782,1.8427,13.8007,0.0503966,46.6238,0.3852432
25.2731,1.8446,13.7443,0.0499457,46.6238,0.4177512
25.2724,1.8413,13.6859,0.0522428,46.579,0.4177512
25.2733,1.8423,13.6616,0.0518092,46.579,0.4269333
25.2731,1.8469,13.8448,0.0511447,46.7205,0.4269333
25.2738,1.8461,13.6657,0.0530068,46.7205,0.4218234
25.2787,1.8432,13.7766,0.0526422,46.6359,0.4218234
25.2719,1.8479,13.6535,0.0529706,46.6359,0.4123162
25.2797,1.8461,13.6922,0.0518763,46.7151,0.4123162
25.2845,1.8412,14.0017,0.0504228,46.7151,0.3942957
25.2917,1.8426,13.6602,0.0504775,46.6484,0.3942957
25.2825,1.8436,13.8797,0.0496674,46.6484,0.3767095
25.2805,1.8457,13.8386,0.0491158,46.7049,0.3767095
25.2844,1.8434,14.0279,0.0484342,46.7049,0.3976116
25.2936,1.8441,13.8587,0.0472731,46.6906,0.3976116
25.28,1.842,13.9528,0.0472019,46.6906,0.3765377
25.2795,1.8412,14.0255,0.0487196,46.5896,0.3765377
25.2815,1.8401,13.9828,0.0481821,46.5896,0.3703995
25.2863,1.8463,13.7378,0.0480349,46.7298,0.3703995
25.2813,1.8435,13.7642,0.0486098,46.7298,0.3909922
25.2891,1.843,13.9744,0.0486863,46.6512,0.3909922
25.2893,1.8381,13.8463,0.0493449,46.6512,0.3999337
25.2882,1.8446,13.9912,0.0484937,46.6927,0.3999337
