batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
26.8854,0.2940094,13.2748,0.0497458,7.9137,0.0
26.9426,0.1339534,13.4159,0.0512841,7.9137,0.5592184
26.9496,0.1405541,13.4786,0.0529819,3.7924,0.5592184
26.9524,0.150095,13.3786,0.0508612,3.7924,0.5511239
26.9507,0.1571957,13.4894,0.0516258,4.2412,0.5511239
26.9545,0.1789179,13.4499,0.049918,4.2412,0.5328924
26.9459,0.1849785,13.4296,0.0495682,4.9908,0.5328924
26.9468,0.1680968,13.3462,0.0504144,4.9908,0.5431512
26.9524,0.1729973,13.447,0.0482965,4.6682,0.5431512
26.9428,0.1833783,13.387,0.0504263,4.6682,0.5467047
26.9505,0.1788979,13.5577,0.0494797,4.8266,0.5467047
26.9442,0.1593159,13.4125,0.0484565,4.8266,0.4912132
26.9517,0.1689369,13.3048,0.0493425,4.5586,0.4912132
26.9557,0.1666167,13.1211,0.0511072,4.5586,0.514728
26.9482,0.1785779,13.2248,0.0480986,4.8183,0.514728
26.9535,0.1680768,13.3449,0.0484318,4.8183,0.4964059
26.9485,0.1828383,13.3629,0.0475767,4.9331,0.4964059
26.9485,0.1828383,13.3629,0.0475767,4.9331,0.5041739
26.9542,0.1713171,13.224,0.0493559,4.6228,0.5041739
26.9596,0.1725773,13.2864,0.0502081,4.6228,0.5446342
26.9596,0.1725773,13.2864,0.0502081,4.6577,0.5446342
26.9387,0.1290529,13.3939,0.0505926,4.6577,0.538607
26.9387,0.1290529,13.3939,0.0505926,3.4811,0.538607
26.9485,0.1559156,13.313,0.0507395,3.4811,0.5309
26.9445,0.1516152,13.374,0.0492817,4.0908,0.5309
26.9461,0.1530753,13.2917,0.0517825,4.0908,0.521699
26.9495,0.1558356,13.4558,0.0508848,4.2053,0.521699
26.9491,0.1685769,13.3033,0.0516607,4.2053,0.5792954
26.8165,1.2053,13.2425,0.0504216,32.122,0.5792954
26.9392,0.1406541,13.268,0.0495028,32.122,0.5346097
26.9505,0.1579958,13.0585,0.0504953,4.2628,0.5346097
26.9541,0.1676768,13.1685,0.051993,4.2628,0.5853742
26.8702,0.8019602,184.3249,0.1478373,21.535,0.5853742
26.8618,0.5424343,219.931,0.1431224,21.535,0.912646
26.8541,0.4474247,219.5253,0.1419474,11.9978,0.912646
26.8384,0.4174818,218.876,0.144662,11.9978,1.071
26.8473,0.4065007,219.0726,0.1474064,10.897,1.071
26.8406,0.3661166,219.1673,0.1467745,10.897,0.3936206
26.842,0.3635164,219.345,0.1467941,9.7437,0.3936206
26.8355,0.3232523,219.5297,0.1452031,9.7437,0.3198632
26.7886,0.0658066,219.2636,0.1440214,1.7515,0.3198632
26.6214,1.3563,219.0157,0.1447424,1.7515,1.0542
26.5806,1.357,219.1406,0.1481264,36.0428,1.0542
26.5428,1.3549,219.3051,0.1438012,36.0428,0.4858126
26.5128,1.3547,218.9215,0.1442795,35.8862,0.4858126
26.4827,1.3631,219.0412,0.1460971,35.8862,0.7877272
