batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
26.1559,1.6796,14.5272,0.0176236,43.9745,0.0
26.1753,1.6761,14.5963,0.0174491,43.9745,-0.0305312
26.1871,1.6764,14.391,0.0174181,43.9364,-0.0305312
26.2034,1.6762,14.5418,0.0174903,43.9364,-0.0271433
26.2251,1.6735,14.4491,0.0174456,43.9243,-0.0271433
26.2317,1.6705,14.5221,0.0176644,43.9243,-0.0460359
26.244,1.6716,14.4441,0.0183476,43.905,-0.0460359
26.2547,1.6704,14.6029,0.0173594,43.905,-0.0338753
26.2706,1.6676,14.5614,0.0177626,43.8437,-0.0338753
26.2743,1.6679,14.4701,0.0174043,43.8437,-0.0200833
26.2908,1.6666,14.5481,0.0176168,43.8526,-0.0200833
26.297,1.666,14.4993,0.0179575,43.8526,-0.0346316
26.3132,1.6651,14.5657,0.0178402,43.8506,-0.0346316
26.3246,1.6661,14.6235,0.0175519,43.8506,-0.0127825
26.3224,1.662,14.781,0.0175143,43.7836,-0.0127825
26.3326,1.6597,14.6704,0.0174491,43.7836,-0.0213896
26.3434,1.6623,14.5495,0.0177085,43.8261,-0.0213896
26.3471,1.6661,14.4907,0.0172867,43.8261,-0.0306624
26.3659,1.6629,14.5857,0.0175895,43.881,-0.0306624
26.373,1.6639,14.4656,0.0178973,43.881,-0.0266527
26.3754,1.6567,14.5341,0.0180508,43.7303,-0.0266527
26.3844,1.6551,14.4115,0.0176848,43.7303,-0.0315282
26.389,1.6572,14.4054,0.0175997,43.7689,-0.0315282
26.3887,1.6535,14.5169,0.0173352,43.7689,-0.0312531
26.4048,1.6547,14.4295,0.0174937,43.7291,-0.0312531
26.4094,1.6544,14.523,0.0175177,43.7291,-0.0339628
26.4094,1.6546,14.3506,0.0176678,43.7324,-0.0339628
26.4159,1.6528,14.4498,0.0180209,43.7324,-0.0370037
26.4288,1.6507,14.5397,0.0174834,43.6616,-0.0370037
26.4313,1.6538,14.3751,0.0179207,43.6616,-0.0314125
26.4404,1.6495,14.418,0.0180109,43.6479,-0.0314125
