batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out
26.891,-0.9249725,219.4345,0.0177694,-24.8309,0.0
26.8686,-0.929413,219.3746,0.0177457,-24.8309,0.0122247
26.8686,-0.929413,219.3746,0.0177457,-24.9339,0.0122247
25.539,-16.0115,219.516,0.0186525,-24.9339,0.0262417
25.539,-16.0115,219.516,0.0186525,-211.9844,0.0262417
24.8912,-16.2835,218.926,0.0187327,-211.9844,-0.0589621
24.7251,-16.4077,219.4324,0.0179942,-211.9844,-0.0589621
24.7251,-16.4077,219.4324,0.0179942,-211.9844,-0.0163126
24.5983,-16.3843,219.4204,0.0184649,-211.9844,-0.0163126
24.5649,-16.3565,218.9638,0.0179174,-211.9844,-0.0049677
24.5649,-16.3565,218.9638,0.0179174,-211.9844,-0.0049677
24.5236,-16.3578,219.3316,0.0191321,-211.9844,0.1004788
24.5161,-16.3707,219.3666,0.0178233,-211.9844,0.1004788
24.523,-16.3207,218.9726,0.0182558,-211.9844,-0.0239774
24.5152,-16.252,218.9487,0.0177356,-211.9844,-0.0239774
24.5122,-16.2968,219.3298,0.0182525,-211.9844,-0.0039566
24.5132,-16.2804,218.9323,0.0181337,-211.9844,-0.0039566
24.5059,-16.3047,219.2314,0.0178166,-211.9844,-0.0759513
24.5083,-16.3459,219.1289,0.0180907,-211.9844,-0.0759513
24.5081,-16.3004,218.9471,0.0180973,-211.9844,0.0077508
24.5023,-16.3474,219.2704,0.0184584,-211.9844,0.0077508
24.5212,-16.3239,219.1664,0.0178771,-211.9844,0.0036629
24.5049,-16.2843,218.9271,0.0180874,-211.9844,0.0036629
24.5075,-16.3136,219.3655,0.0178368,-211.9844,-0.0085915
24.5156,-16.3147,219.1421,0.0176746,-211.9844,-0.0085915
24.5136,-16.2962,218.9902,0.0183541,-211.9844,-0.1108955
24.5101,-16.3329,219.4035,0.0180076,-211.9844,-0.1108955
24.5164,-16.2965,218.9986,0.0177187,-211.9844,-0.08734
24.5106,-16.3035,219.0286,0.0179642,-211.9844,-0.08734
24.5131,-16.2999,219.3716,0.0178939,-211.9844,0.0287341
24.5065,-16.3181,219.1029,0.0182656,-211.9844,0.0287341
24.5106,-16.292,218.7857,0.0184747,-211.9844,-0.0944813
24.5051,-16.3136,218.9487,0.0183868,-211.9844,-0.0944813
24.4978,-16.3306,219.3019,0.0183345,-211.9844,-0.0663566
24.5027,-16.3047,218.8696,0.0180375,-211.9844,-0.0663566
24.5026,-16.3507,219.4752,0.0181404,-211.9844,0.0242649
24.497,-16.3114,218.9814,0.017793,-211.9838,0.0242649
24.5008,-16.3191,219.0558,0.0183476,-211.9838,-0.0559118
24.4966,-16.3175,219.4592,0.0179308,-211.9844,-0.0559118
24.5003,-16.3059,218.7585,0.0180275,-211.9844,0.0234055
24.5007,-16.326,219.4152,0.0180874,-211.9844,0.0234055
24.4985,-16.3176,218.9274,0.0184064,-211.9844,-0.1229342
24.499,-16.3551,219.4652,0.0186042,-211.9844,-0.1229342
24.4942,-16.2906,218.9703,0.0181304,-211.9844,-0.055118
24.4907,-16.3724,219.5685,0.018588,-211.9844,-0.055118
24.4957,-16.2711,218.9487,0.0179609,-211.9844,-0.0336002
24.4923,-16.2893,219.5159,0.0184747,-211.9844,-0.0336002
24.4933,-16.2515,218.9418,0.0187199,-211.9844,0.0518333
24.4904,-16.298,219.4132,0.0183247,-211.9844,0.0518333
24.4974,-16.2557,219.0738,0.0182919,-211.9844,0.0606529
24.4922,-16.2353,219.1,0.0183933,-211.9844,0.0606529
24.494,-16.2341,219.0812,0.0180309,-211.9844,0.0145702
24.4881,-16.2755,219.3585,0.0182064,-211.9844,0.0145702
24.4707,-16.2802,219.3454,0.0177153,-211.9844,-0.0575151
24.4707,-16.2802,219.3454,0.0177153,-211.9844,-0.0575151
