batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
29.2106,0.0731273,14.6218,0.0357106,2.1398,0.0,1.1623761653900146
29.1185,0.5359536,171.1208,0.151725,2.1398,-0.1504541,2.2232398986816406
29.1185,0.5359536,171.1208,0.151725,15.5946,-0.1504541,3.1793758869171143
29.0841,0.2242024,218.9709,0.1465781,15.5946,0.1678668,4.2376837730407715
29.0841,0.2242024,218.9709,0.1465781,6.5045,0.1678668,5.193291425704956
29.0844,0.2051805,219.3754,0.1464307,6.5045,-0.1385607,6.163962364196777
29.0904,0.1993799,219.4512,0.1476976,5.7835,-0.1385607,7.219591379165649
29.0904,0.1993799,219.4512,0.1476976,5.7835,0.5371865,8.175540447235107
28.1725,1.5844,218.9754,0.1444308,44.6032,0.5371865,9.232558727264404
28.0953,1.5934,219.33,0.1482863,44.6032,0.1911738,10.217639684677124
28.0648,1.5909,219.1357,0.1471636,44.6191,0.1911738,11.215099096298218
28.025,1.6,219.0882,0.1488937,44.6191,0.8016927,12.204272747039795
27.9959,1.5956,219.1258,0.1474634,44.6455,0.8016927,13.197694540023804
27.2744,13.1059,216.4826,1.3955,44.6455,280.3747,14.192504644393921
26.5922,15.7735,218.4222,1.5028,418.925,280.3747,15.25125765800476
26.1412,16.0629,219.4524,1.5121,418.925,329.6358,16.208853006362915
25.7125,16.2324,219.1704,1.5101,416.8639,329.6358,17.173534870147705
25.2957,16.3696,218.8899,1.5097,416.8639,328.2201,18.230391025543213
24.9499,16.6587,219.3382,1.5105,415.1884,328.2201,19.18806004524231
24.6983,16.8142,219.3119,1.5078,415.1884,328.2959,20.24733877182007
24.5312,16.8305,218.9644,1.5055,412.2696,328.2959,21.20424485206604
24.4227,17.0034,219.3959,1.5113,412.2696,329.3918,22.162110328674316
24.3524,16.9932,218.9329,1.5042,413.1052,329.3918,23.218679666519165
24.3132,17.0738,219.483,1.5084,413.1052,328.7877,24.175515174865723
24.3101,17.011,218.918,1.5092,412.7944,328.7877,25.233766794204712
24.3104,17.0684,219.3685,1.5083,412.7944,328.5278,26.193317413330078
24.3327,17.0066,219.083,1.5103,413.0367,328.5278,27.25050640106201
24.3573,16.9817,218.9745,1.5062,413.0367,327.5181,28.206971883773804
24.3766,17.0052,219.175,1.5084,413.7848,327.5181,29.163392782211304
24.3847,17.0275,219.326,1.5106,413.7848,328.9819,30.223007917404175
24.4057,16.9986,219.3131,1.5097,414.1337,328.9819,31.180728673934937
24.4215,16.9515,218.9929,1.5079,414.1337,327.9187,32.23860216140747
24.4239,17.0134,219.2508,1.5069,414.8236,327.9187,33.19445466995239
24.4434,16.916,218.9844,1.5045,414.8236,327.0601,34.154539585113525
24.4522,16.9939,219.3741,1.5058,414.8154,327.0601,35.21276903152466
24.4515,16.9561,219.3973,1.5056,414.8154,327.9686,36.17120933532715
24.4519,16.9105,218.9475,1.5076,412.8747,327.9686,37.23206353187561
24.4512,16.9433,219.008,1.5091,412.8747,328.199,38.19012260437012
24.4561,16.97,219.2636,1.509,414.3591,328.199,39.24951457977295
