batt_volt,batt_curr,output_volt,output_curr,pwr_in,pwr_out,time_stamp
25.7759,1.6435,14.5597,0.0509449,42.4122,0.0,1.1638128757476807
25.7912,1.638,14.6336,0.0527037,42.4122,0.6960884,2.2250750064849854
25.7862,1.6424,14.6798,0.0521727,42.3899,0.6960884,3.1870625019073486
25.8058,1.6407,14.71,0.0530136,42.3899,0.7068316,4.248697996139526
25.8055,1.6403,14.6243,0.052657,42.3702,0.7068316,5.210881948471069
25.8186,1.637,14.7016,0.0517756,42.3702,0.6832371,6.171648263931274
25.8332,1.6341,14.7055,0.052424,42.2566,0.6832371,7.230642318725586
25.8266,1.6354,14.6323,0.0526034,42.2566,0.6992465,8.191196918487549
25.8367,1.6363,14.5839,0.0522715,42.3174,0.6992465,9.252201795578003
25.8563,1.6295,14.5988,0.0508812,42.3174,0.6587846,10.211480617523193
25.8633,1.6315,14.7493,0.0503263,42.2359,0.6587846,11.172373294830322
25.8586,1.629,14.6494,0.0542311,42.2359,0.7276821,12.233903169631958
25.8675,1.6306,14.6332,0.050893,42.2209,0.7276821,13.19424843788147
25.8715,1.6347,14.5036,0.0504715,42.2209,0.6477695,14.154873132705688
25.8765,1.6297,14.5345,0.0506175,42.2109,0.6477695,15.216903686523438
25.8765,1.6342,14.5467,0.0514897,42.2109,0.671214,16.178699016571045
25.8847,1.6305,14.4538,0.0484838,42.2468,0.671214,17.242321491241455
25.9006,1.6295,14.4913,0.0496698,42.2468,0.6319538,18.203683376312256
25.8964,1.6246,14.7512,0.0497555,42.1099,0.6319538,19.161811113357544
25.9123,1.6342,14.6897,0.048791,42.1099,0.6171586,20.222894191741943
25.9024,1.6311,14.4846,0.050275,42.2887,0.6171586,21.18348717689514
25.9242,1.6296,14.4344,0.0503787,42.2887,0.6450614,22.245280742645264
25.9296,1.6308,14.5841,0.0496178,42.3251,0.6450614,23.206101655960083
25.9346,1.6305,14.5163,0.0489371,42.3251,0.6137911,24.166795015335083
25.9426,1.6314,14.7487,0.0489714,42.3615,0.6137911,25.227867126464844
25.9361,1.6265,14.5842,0.0496746,42.3615,0.63111,26.190088987350464
25.9455,1.6276,14.7056,0.7063191,42.2702,0.63111,27.25049901008606
25.9466,1.6241,14.6425,0.018546,42.2702,-0.0556212,28.213372230529785
25.9509,1.6256,14.7131,0.0184812,42.2265,-0.0556212,29.17552614212036
25.9646,1.6235,14.6795,0.0184194,42.2265,-0.0575964,30.234800100326538
25.9606,1.6255,14.7431,0.0186942,42.2389,-0.0575964,31.196269750595093
25.9714,1.6207,14.587,0.0185589,42.2389,-0.0559509,32.25425720214844
25.9758,1.6216,14.7503,0.0191634,42.1621,-0.0559509,33.21355867385864
25.9795,1.6232,14.6279,0.0191164,42.1621,-0.067938,34.1769540309906
25.9777,1.62,14.6925,0.0182262,42.1231,-0.067938,35.235788106918335
25.9854,1.6218,14.6629,0.0181238,42.1231,-0.0551743,36.19514465332031
25.9883,1.6224,14.5465,0.0181006,42.2018,-0.0551743,37.25540328025818
25.9884,1.6242,14.3691,0.0192447,42.2018,-0.0615749,38.21562123298645
26.0,1.6248,14.5049,0.0178267,42.283,-0.0615749,39.1775119304657
26.005,1.6225,14.4742,0.0187423,42.283,-0.052574,40.23856711387634
26.0068,1.6252,14.7779,0.0178435,42.3051,-0.052574,41.19818377494812
26.0039,1.6208,14.5525,0.0191791,42.3051,-0.0810784,42.161092042922974
26.0057,1.6237,14.7494,0.0185363,42.2649,-0.0810784,43.22169804573059
26.0108,1.6197,14.7265,0.0179508,42.2649,-0.0442982,44.182766914367676
26.0119,1.6202,14.701,0.0188094,42.1832,-0.0442982,45.24267339706421
26.0167,1.6245,14.6095,0.0181503,42.1832,-0.052149,46.205732345581055
26.0252,1.6184,14.7074,0.0189398,42.159,-0.052149,47.16657376289368
26.031,1.6195,14.7636,0.0186235,42.159,-0.0618843,48.22629141807556
26.0327,1.6185,14.6796,0.0183148,42.1737,-0.0618843,49.190184116363525
26.0348,1.617,14.5909,0.0189683,42.1737,-0.0731917,50.25019025802612
26.0431,1.6185,14.8258,0.0190567,42.1901,-0.0731917,51.209619760513306
26.0425,1.6171,14.7355,0.0186686,42.1901,-0.0622562,52.17308163642883
26.0355,1.6181,14.6757,0.0192197,42.1682,-0.0622562,53.23442554473877
26.0456,1.6136,14.7034,0.0178738,42.1682,-0.0440794,54.1935555934906
26.0452,1.6181,14.6525,0.0183607,42.1811,-0.0440794,55.25471019744873
26.0458,1.6156,14.6166,0.0187071,42.1811,-0.0635282,56.21539521217346
26.0518,1.6194,14.4189,0.0180708,42.2257,-0.0635282,57.17914915084839
26.0553,1.6172,14.4896,0.0182328,42.2257,-0.0576433,58.23920917510986
26.0582,1.6147,14.4403,0.0189525,42.1147,-0.0576433,59.199639081954956
26.0638,1.6162,14.6326,0.01782,42.1147,-0.0468047,60.16227602958679
26.0605,1.6195,14.6397,0.0182295,42.2424,-0.0468047,61.22631859779358
26.0557,1.6167,14.5444,0.0185686,42.2424,-0.0444154,62.18814277648926
26.0661,1.6172,14.6628,0.0190094,42.1912,-0.0444154,63.24877214431763
26.0729,1.6168,14.8351,0.0190598,42.1912,-0.0710884,64.21103239059448
26.0757,1.6161,14.7425,0.0187711,42.1797,-0.0710884,65.17085528373718
26.0748,1.6172,14.8684,0.0196275,42.1797,-0.0649284,66.23393416404724
26.0836,1.6151,14.7778,0.0188954,42.1656,-0.0649284,67.19280004501343
26.0829,1.6126,14.7087,0.0192384,42.1656,-0.0685131,68.25281763076782
26.0839,1.6128,14.6166,0.018691,42.1065,-0.0685131,69.21394729614258
26.0744,1.6132,14.5551,0.0187903,42.1065,-0.0697664,70.17578911781311
26.0856,1.6112,14.568,0.0184682,42.0691,-0.0697664,71.23623967170715
26.0938,1.6121,14.6913,0.0184031,42.0691,-0.0554665,72.19797348976135
26.0931,1.6121,14.5402,0.0182064,42.1015,-0.0554665,73.15873980522156
26.0854,1.6113,14.701,0.0186557,42.1015,-0.0614733,74.21952939033508
26.1004,1.6125,14.6905,0.0187135,42.1257,-0.0614733,75.18092656135559
26.0983,1.6107,14.6816,0.0188859,42.1257,-0.0770327,76.24334716796875
26.1124,1.6107,14.5967,0.0190378,42.0981,-0.0770327,77.2037513256073
26.1104,1.6067,14.4612,0.0195171,42.0981,-0.0763233,78.16380143165588
26.1172,1.609,14.2845,0.0191478,42.0605,-0.0763233,79.22479915618896
26.1085,1.6091,14.7136,0.0186106,42.0605,-0.0609748,80.18529486656189
26.1235,1.6109,14.5207,0.0185977,42.1192,-0.0609748,81.24744701385498
26.1117,1.6099,14.6406,0.0192727,42.1192,-0.0744106,82.20706987380981
26.1147,1.6128,14.6601,0.018546,42.1555,-0.0744106,83.16785264015198
26.125,1.6141,14.6705,0.01818,42.1555,-0.0540679,84.23042011260986
26.1288,1.6084,14.6416,0.0193938,42.0631,-0.0540679,85.19315147399902
26.1304,1.6046,14.5708,0.0187967,42.0631,-0.0633345,86.25493955612183
26.132,1.6059,14.4908,0.0181205,42.0041,-0.0633345,87.216543674469
26.1341,1.6016,14.4138,0.0179609,42.0041,-0.0453608,88.17713236808777
26.1523,1.6073,14.5909,0.0182722,42.0735,-0.0453608,89.23907351493835
26.1512,1.6063,14.5709,0.017311,42.0735,-0.0378475,90.20026016235352
26.1484,1.6062,14.7487,0.0188445,42.0359,-0.0378475,91.16038465499878
26.1471,1.6015,14.8489,0.0187359,42.0359,-0.0637251,92.2219250202179
26.1503,1.6043,14.6908,0.0177863,41.9894,-0.0637251,93.18475985527039
26.1542,1.6022,14.6888,0.0177998,41.9894,-0.0312,94.24846982955933
26.1524,1.6052,14.8295,0.0183541,42.0155,-0.0312,95.20998549461365
26.15,1.6039,14.4886,0.0178469,42.0155,-0.0397227,96.17116332054138
26.163,1.6023,14.7764,0.0181767,41.9579,-0.0397227,97.2338809967041
